Dataset,Feature,Extreme_Type,Values,SubjectIDs
MIMIC-IV,T_Amp_V3,Bottom 20,"-79.1442, -64.7796, -44.5074, -33.5802, -32.7173, -32.0484, -28.3127, -26.236, -25.4213, -25.316, -24.48, -24.2865, -23.613, -23.3981, -23.2726, -23.1256, -22.6182, -22.4427, -22.3964, -22.1866","11232657, 12517010, 13704822, 17229222, 11737268, 15934572, 13780400, 15373430, 11966608, 14271881, 14774414, 10570948, 19570648, 11900721, 15871621, 17147257, 10835377, 19679858, 11405705, 10846520"
MIMIC-IV,T_Amp_V3_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,T_Amp_V3_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,T_Amp_V3_iqr,Top 20,"120.7619, 110.8586, 83.3905, 73.3795, 44.7811, 42.1005, 39.0337, 34.2129, 29.5341, 29.3913, 29.2484, 28.6096, 28.3866, 27.6181, 27.433, 26.6977, 25.8879, 25.7328, 22.6617, 22.6563","13704822, 11232657, 12517010, 18369032, 14997616, 17132849, 14136350, 17147257, 11925350, 11251632, 19891610, 15934572, 17949474, 17434499, 11791041, 11102426, 19570648, 14271881, 10846520, 11069386"
MIMIC-IV,T_Amp_V3_iqr,Bottom 20,"0.0, 0.0, 0.0001, 0.0001, 0.0001, 0.0001, 0.0004, 0.0007, 0.0007, 0.0012, 0.0012, 0.0013, 0.0013, 0.0014, 0.0014, 0.0015, 0.0015, 0.0015, 0.0015, 0.0016","13315366, 13713209, 18566607, 17735780, 18258770, 13993692, 17524861, 12067194, 14258214, 13347176, 15919853, 12723615, 12565157, 13145601, 12557139, 16666848, 15021356, 19160742, 18377213, 11604523"
MIMIC-IV,T_Amp_V4,Top 20,"69.6833, 56.5248, 40.7065, 27.8549, 27.6975, 22.0448, 21.0618, 20.9836, 19.5418, 19.0558, 18.8529, 18.3615, 17.9799, 17.7341, 16.0628, 14.0106, 13.8862, 13.5621, 12.4267, 12.1317","18544386, 12327469, 12322027, 17610997, 11482500, 11686464, 18079519, 13615928, 19696769, 13399381, 19713100, 19663837, 12219683, 15259244, 10911270, 12327469, 11053554, 14941305, 16151224, 18820664"
MIMIC-IV,T_Amp_V4,Bottom 20,"-64.2923, -54.7479, -48.7365, -46.7576, -45.5159, -45.0566, -34.4689, -34.3908, -30.6821, -30.5235, -30.0856, -28.6496, -28.5594, -28.4749, -28.1667, -27.2979, -25.5069, -24.7984, -24.2739, -23.4814","12517010, 13124419, 12289464, 14494263, 10312419, 19428820, 18977683, 16988561, 12181540, 18946621, 10188100, 19670438, 19821558, 19169852, 17521786, 18456328, 17173114, 11717339, 15116656, 11955908"
MIMIC-IV,T_Amp_V4_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,T_Amp_V4_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,T_Amp_V4_iqr,Top 20,"137.057, 124.5117, 117.7255, 113.8567, 110.3689, 98.9151, 89.4132, 83.3888, 81.435, 80.1551, 76.7587, 74.2316, 65.6784, 64.7268, 64.5352, 59.9375, 52.8872, 50.0584, 46.6036, 45.6506","13124419, 12289464, 10312419, 12327469, 14494263, 16988561, 19428820, 12517010, 12181540, 17521786, 18544386, 18977683, 12322027, 12899635, 18946621, 19169852, 18456328, 18079519, 17132849, 10188100"
MIMIC-IV,T_Amp_V4_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008, 0.0009, 0.001, 0.001, 0.001, 0.0011, 0.0012, 0.0013, 0.0014, 0.0015, 0.0015, 0.0016, 0.0016","13401524, 16345822, 13467921, 10390714, 18168840, 15916886, 12685249, 11004477, 16546662, 19371972, 16092524, 10159832, 10438253, 10075222, 10205191, 12484093, 11612731, 16785883, 18595231, 13502608"
MIMIC-IV,T_Amp_V5,Top 20,"33.5651, 31.0608, 27.3941, 26.1624, 22.887, 20.6953, 15.6076, 15.0366, 14.8308, 14.6049, 14.1711, 13.1851, 12.7933, 12.469, 12.2942, 12.0152, 11.9836, 11.8681, 11.7063, 11.12","19555908, 19336841, 16115563, 15147050, 16137455, 18787238, 12851842, 10892316, 18935074, 13947746, 14959591, 14230007, 15653234, 15884628, 13401116, 17471045, 16599124, 11264491, 14520474, 18456328"
MIMIC-IV,T_Amp_V5,Bottom 20,"-64.8131, -61.8308, -37.9161, -36.4019, -34.7718, -32.1744, -28.1804, -25.2879, -24.8114, -24.566, -24.51, -24.217, -23.9394, -23.7788, -23.6682, -23.3046, -22.9139, -22.5263, -21.7745, -21.7332","12517010, 15112354, 16258109, 13728237, 10614384, 14874072, 15155342, 15541773, 10684958, 12289464, 15896535, 10933609, 17763117, 10098215, 11885789, 13840316, 16289299, 18806889, 10368327, 19685821"
MIMIC-IV,T_Amp_V5_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,T_Amp_V5_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,T_Amp_V5_iqr,Top 20,"109.7286, 95.88, 83.4663, 66.1247, 64.6213, 63.8776, 61.5407, 59.4893, 56.7572, 54.4364, 54.1549, 52.4668, 45.8574, 43.8409, 42.4936, 34.567, 34.0135, 32.8915, 25.1755, 24.744","15112354, 13728237, 12517010, 10614384, 16258109, 14874072, 12289464, 15147050, 18787238, 16115563, 19336841, 19555908, 10098215, 13840316, 17132849, 10933609, 12640507, 10476303, 19131436, 17261065"
MIMIC-IV,T_Amp_V5_iqr,Bottom 20,"0.0, 0.0001, 0.0001, 0.0001, 0.0001, 0.0002, 0.0013, 0.0013, 0.0013, 0.0013, 0.0014, 0.0014, 0.0015, 0.0016, 0.0016, 0.0017, 0.0017, 0.0017, 0.0017, 0.0017","10390664, 15956226, 10300976, 14220073, 11667512, 11648170, 18205788, 14581354, 17587719, 16633692, 14066798, 16246903, 18669933, 10295929, 12973106, 17885958, 16354481, 13673131, 14152483, 13055574"
MIMIC-IV,T_Amp_V6,Top 20,"33.6657, 29.7302, 26.099, 25.9489, 25.0205, 24.0151, 22.6455, 21.2891, 21.2693, 20.8776, 18.9497, 18.8263, 18.4771, 17.672, 17.1247, 17.0046, 16.7384, 16.4432, 15.634, 15.3104","19467162, 14548055, 12994952, 17823866, 19106635, 18371849, 18489959, 12012986, 14894642, 15745943, 18230098, 15918114, 10481486, 15146455, 18069196, 10580965, 10968074, 16405146, 17925184, 14566045"
MIMIC-IV,T_Amp_V6,Bottom 20,"-64.9662, -61.2296, -50.5877, -46.1943, -44.5586, -42.1403, -35.8692, -34.8955, -34.2174, -32.5407, -29.5769, -27.7441, -27.6673, -27.3521, -26.3142, -26.0172, -25.9034, -25.1262, -24.3052, -24.2108","12517010, 17876390, 16086282, 14278578, 16968493, 10739710, 12579739, 13225183, 15999575, 16852082, 11143932, 11632236, 12757987, 13105954, 16250904, 15227798, 17565549, 17111103, 12972442, 16836346"
MIMIC-IV,T_Amp_V6_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,T_Amp_V6_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,T_Amp_V6_iqr,Top 20,"143.2134, 120.7779, 119.9425, 107.911, 84.7797, 83.8684, 83.385, 74.6206, 68.8322, 66.1171, 61.4489, 54.724, 49.3936, 48.4545, 47.2977, 46.3257, 43.6515, 43.2166, 41.8608, 38.4633","17876390, 16968493, 14278578, 16086282, 15999575, 10739710, 12517010, 12579739, 17565549, 13105954, 19467162, 17925184, 17823866, 11632236, 16852082, 19106635, 18371849, 16405146, 16716395, 17132849"
MIMIC-IV,T_Amp_V6_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0001, 0.0001, 0.0002, 0.0002, 0.0003, 0.0003, 0.0008, 0.0009, 0.001, 0.001, 0.001, 0.001","10157256, 19851462, 16057835, 19111622, 12550080, 14751479, 12217232, 11939591, 15956226, 12841759, 12608011, 13024713, 14220073, 18102151, 14277360, 15706450, 10155510, 18829553, 10793570, 14768701"
MIMIC-IV,T_Amp_aVF,Top 20,"28.6499, 13.6653, 11.9431, 8.0144, 7.7843, 7.2897, 6.7299, 6.5694, 6.3279, 5.0177, 3.7103, 3.6967, 3.4779, 2.6759, 2.4406, 2.0232, 1.9668, 1.9032, 1.8391, 1.8332","17132849, 14874072, 13237537, 10639500, 12010510, 15439322, 11685620, 11960875, 11488234, 11279168, 15689762, 13733457, 11663663, 14822638, 12805443, 18094058, 13991270, 13237537, 16574053, 18094058"
MIMIC-IV,T_Amp_aVF,Bottom 20,"-70.6251, -34.0644, -19.3922, -15.677, -11.7757, -10.7127, -10.4247, -9.0562, -8.4253, -8.4176, -8.224, -7.0757, -6.5401, -6.3999, -4.6788, -4.3956, -3.4083, -2.8459, -2.7094, -2.2601","12517010, 17316016, 19482678, 10139387, 10570126, 12597933, 10250736, 14691000, 13509460, 14962112, 19355882, 13667220, 11801290, 10087981, 17730015, 17970480, 16196998, 15527910, 14947701, 10725079"
MIMIC-IV,T_Amp_aVF_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,T_Amp_aVF_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,T_Amp_aVF_iqr,Top 20,"97.5755, 43.1035, 36.5524, 21.5602, 12.1286, 10.9005, 9.4233, 8.9321, 8.4516, 7.8932, 7.8209, 6.0217, 3.7867, 2.4899, 2.3248, 2.1899, 2.0636, 2.0475, 2.0005, 1.8701","12517010, 17316016, 17132849, 14874072, 11960875, 10639500, 14691000, 11279168, 13237537, 12597933, 10139387, 11488234, 15689762, 10411149, 12640507, 14822638, 18153954, 13496539, 19823744, 13943729"
MIMIC-IV,T_Amp_aVF_iqr,Bottom 20,"0.0007, 0.0007, 0.0008, 0.0009, 0.001, 0.001, 0.001, 0.001, 0.0011, 0.0011, 0.0012, 0.0012, 0.0012, 0.0012, 0.0013, 0.0013, 0.0013, 0.0013, 0.0013, 0.0014","11168076, 15438873, 13954025, 12278768, 13297550, 16883140, 17239380, 10406570, 15095087, 18397312, 18563140, 10342737, 16444413, 12813943, 14502109, 18646253, 18823054, 19133405, 12712581, 11504325"
MIMIC-IV,T_Amp_aVL,Top 20,"15.3935, 8.9124, 8.2696, 7.814, 7.6656, 6.7262, 6.3553, 6.3378, 6.0005, 4.4528, 4.0224, 3.6765, 2.5892, 2.1823, 2.021, 2.0207, 1.79, 1.7588, 1.7559, 1.7321","15689762, 15439322, 10639500, 12010510, 10250736, 11685620, 11960875, 19951395, 14874072, 15403852, 10845916, 19355882, 17823467, 11663663, 16098597, 13088227, 12426684, 13237537, 15715874, 19504755"
MIMIC-IV,T_Amp_aVL,Bottom 20,"-44.8309, -26.5641, -11.8332, -10.0496, -8.9555, -8.262, -7.4065, -6.5522, -6.4508, -5.5308, -5.0283, -4.5668, -4.3538, -3.7689, -2.9809, -2.0944, -1.8557, -1.4478, -1.3971, -1.2951","12517010, 17132849, 10570126, 14691000, 15642812, 13509460, 12411707, 15937283, 12597933, 10725079, 10319651, 17730015, 17970480, 11531637, 10225882, 10139387, 16766908, 13894879, 13542989, 11518919"
MIMIC-IV,T_Amp_aVL_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,T_Amp_aVL_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,T_Amp_aVL_iqr,Top 20,"85.3824, 47.9307, 22.5245, 14.1669, 12.3503, 11.7322, 11.1889, 8.2723, 4.3322, 3.7206, 2.2188, 1.9862, 1.9761, 1.9211, 1.6103, 1.5849, 1.5035, 1.4513, 1.3575, 1.3475","17132849, 12517010, 15689762, 12597933, 11960875, 14874072, 10639500, 14691000, 10139387, 13126529, 12426684, 12165964, 12426684, 15715874, 11975667, 11279168, 13943729, 18153954, 13434840, 11100802"
MIMIC-IV,T_Amp_aVL_iqr,Bottom 20,"0.0005, 0.0006, 0.0008, 0.0009, 0.001, 0.0012, 0.0013, 0.0013, 0.0014, 0.0015, 0.0016, 0.0016, 0.0016, 0.0016, 0.0016, 0.0016, 0.0016, 0.0016, 0.0017, 0.0017","11899569, 17427308, 13325443, 12765666, 16569533, 13397319, 17017876, 10253349, 14839472, 14901845, 19706867, 17569392, 15107347, 12017739, 19338265, 10373148, 15958071, 13674066, 13795994, 19224529"
MIMIC-IV,T_Amp_aVR,Top 20,"24.5415, 13.5269, 13.3588, 11.1655, 8.6547, 8.2729, 8.1834, 8.0019, 7.0194, 6.9261, 6.9185, 5.6227, 5.4122, 4.7032, 4.0797, 3.0267, 2.7995, 2.2365, 2.2334, 2.0306","17132849, 10570126, 14874072, 18153954, 15439322, 10639500, 13762217, 12010510, 19771110, 11685620, 11960875, 13237537, 18676370, 10139387, 19504755, 13667220, 11279168, 15689762, 11663663, 12224027"
MIMIC-IV,T_Amp_aVR,Bottom 20,"-71.4364, -14.17, -11.2953, -11.1477, -9.246, -8.7978, -8.6069, -8.0371, -5.3676, -5.1914, -4.7164, -4.4247, -4.2621, -4.0627, -3.7225, -3.6305, -3.5602, -2.5788, -2.3576, -1.5109","12517010, 10017764, 11106561, 12597933, 14691000, 17970480, 13509460, 19355882, 11329832, 11801290, 17730015, 15527910, 10250736, 14568046, 19752908, 10319651, 10725079, 16702712, 10845916, 18875034"
MIMIC-IV,T_Amp_aVR_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,T_Amp_aVR_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,T_Amp_aVR_iqr,Top 20,"101.4527, 27.9143, 24.8822, 11.486, 11.1919, 9.6097, 7.7084, 5.402, 4.3803, 1.9586, 1.912, 1.871, 1.311, 1.1958, 1.136, 1.092, 1.0514, 1.0421, 1.0321, 1.0101","12517010, 17132849, 14874072, 11960875, 10639500, 14691000, 12597933, 11279168, 15689762, 13126529, 11886174, 10196360, 13496539, 13237537, 11372911, 13434840, 10570126, 19482678, 12455327, 17316016"
MIMIC-IV,T_Amp_aVR_iqr,Bottom 20,"0.0006, 0.0008, 0.0009, 0.0009, 0.001, 0.001, 0.001, 0.0011, 0.0011, 0.0011, 0.0011, 0.0011, 0.0011, 0.0011, 0.0012, 0.0012, 0.0012, 0.0012, 0.0012, 0.0012","19371972, 16359284, 15091490, 16297597, 11384034, 17341475, 10253349, 14076508, 19960115, 11178019, 19052147, 18576343, 13186318, 17232630, 14672929, 16882192, 10373447, 19524140, 11898950, 19788381"
PTB-XL,QRS_Dur_Global,Top 20,"280.0, 270.0, 266.0, 266.0, 265.0, 261.0, 259.0, 257.0, 256.0, 256.0, 256.0, 254.0, 254.0, 254.0, 254.0, 253.0, 253.0, 253.0, 253.0, 252.0","16995, 14448, 2672, 17427, 6033, 7495, 17588, 6396, 9387, 14819, 18700, 10802, 13184, 17382, 17426, 7234, 15841, 17500, 21072, 5432"
PTB-XL,QRS_Dur_Global,Bottom 20,"46.0, 100.0, 102.0, 104.0, 112.0, 112.0, 112.0, 112.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 114.0, 115.0, 116.0, 116.0, 116.0","14286, 15582, 20777, 14806, 2368, 3372, 5015, 21580, 3710, 3961, 4964, 12463, 13908, 13945, 17883, 20639, 6781, 1432, 1778, 1847"
PTB-XL,QRS_Dur_Global_count,Top 20,"32, 31, 30, 29, 29, 29, 29, 29, 28, 28, 28, 28, 28, 27, 27, 27, 27, 27, 27, 27","14286, 16106, 16753, 2530, 4161, 10936, 12195, 16901, 449, 3134, 3476, 5833, 13112, 1173, 4496, 7796, 7889, 9337, 11349, 12988"
PTB-XL,QRS_Dur_Global_count,Bottom 20,"5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6","477, 722, 8907, 10266, 10670, 16151, 12, 69, 959, 1919, 2534, 3535, 4236, 4738, 5135, 5939, 6064, 7822, 8048, 8581"
PTB-XL,QRS_Dur_Global_iqr,Top 20,"128.5, 124.0, 117.0, 114.0, 109.0, 109.0, 108.0, 89.0, 85.5, 85.0, 83.5, 81.5, 81.0, 79.5, 78.0, 77.0, 76.5, 76.0, 76.0, 74.0","17065, 12581, 14806, 16874, 15042, 17093, 13193, 18443, 18246, 21498, 14956, 5135, 21243, 21408, 1670, 13196, 16431, 16066, 17091, 11352"
PTB-XL,QRS_Dur_Global_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","46, 49, 56, 185, 367, 420, 645, 788, 791, 874, 989, 1031, 1063, 1149, 1289, 1492, 1814, 1820, 1888, 1991"
PTB-XL,Q_Amp_I,Top 20,"1.53, 1.39, 1.26, 1.08, 0.98, 0.96, 0.96, 0.95, 0.9, 0.89, 0.88, 0.865, 0.86, 0.83, 0.815, 0.81, 0.81, 0.81, 0.81, 0.775","16971, 10395, 5016, 21643, 12000, 12085, 13461, 10357, 12701, 9561, 18131, 18724, 10861, 725, 9335, 10572, 10869, 13190, 18001, 13820"
PTB-XL,Q_Amp_I,Bottom 20,"-5.59, -1.285, -1.18, -1.17, -1.0, -0.86, -0.74, -0.66, -0.58, -0.53, -0.51, -0.51, -0.505, -0.5, -0.49, -0.47, -0.46, -0.455, -0.425, -0.42","11813, 17571, 1641, 21167, 18439, 17085, 13765, 11080, 17638, 4494, 7135, 11837, 12162, 13790, 12584, 19863, 5543, 6826, 21453, 18475"
PTB-XL,Q_Amp_II,Top 20,"2.65, 2.5, 2.46, 2.44, 2.36, 2.225, 2.105, 2.0, 2.0, 1.9, 1.78, 1.775, 1.71, 1.7, 1.66, 1.66, 1.63, 1.6, 1.59, 1.575","5756, 20363, 18465, 19513, 11777, 11700, 7204, 15046, 18599, 12953, 13539, 5533, 17384, 13629, 5353, 15598, 20013, 19358, 9933, 5544"
PTB-XL,Q_Amp_II,Bottom 20,"-1.4, -1.33, -1.28, -1.2, -1.18, -1.12, -1.035, -0.95, -0.84, -0.84, -0.68, -0.67, -0.665, -0.66, -0.65, -0.61, -0.59, -0.58, -0.57, -0.565","13765, 8989, 5615, 12186, 21167, 5488, 21453, 17085, 190, 21572, 146, 18439, 8543, 16605, 13131, 21594, 10289, 13177, 14883, 19148"
PTB-XL,Q_Amp_III,Top 20,"5.55, 3.02, 2.655, 1.94, 1.905, 1.87, 1.8, 1.78, 1.76, 1.57, 1.475, 1.27, 1.25, 1.24, 1.23, 1.21, 1.125, 1.08, 1.03, 1.01","11813, 15457, 17284, 1641, 11982, 12532, 21579, 8970, 8479, 20733, 14854, 17571, 9933, 3990, 11555, 8530, 296, 10950, 3407, 5787"
PTB-XL,Q_Amp_III,Bottom 20,"-2.64, -2.025, -1.87, -1.86, -1.76, -1.755, -1.67, -1.67, -1.635, -1.58, -1.525, -1.445, -1.44, -1.395, -1.38, -1.32, -1.3, -1.23, -1.22, -1.21","13820, 12155, 6033, 10869, 13177, 5016, 12953, 19513, 11487, 6240, 5533, 15026, 5756, 17066, 8989, 21399, 15265, 21316, 21380, 21347"
PTB-XL,Q_Amp_III_count,Top 20,"33, 31, 30, 29, 29, 29, 29, 29, 28, 28, 28, 28, 28, 27, 27, 27, 27, 27, 27, 27","14286, 16106, 16753, 2530, 4161, 10936, 12195, 16901, 449, 3134, 3476, 5833, 13112, 1173, 4496, 7796, 7889, 9337, 11349, 12988"
PTB-XL,Q_Amp_III_count,Bottom 20,"5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6","477, 722, 8907, 10266, 16151, 959, 1919, 2534, 3535, 4236, 5135, 8048, 8581, 8620, 8893, 8932, 9217, 9950, 10300, 10670"
PTB-XL,Q_Amp_III_iqr,Top 20,"2.7575, 2.35, 2.34, 2.06, 2.01, 1.83, 1.805, 1.66, 1.5025, 1.45, 1.43, 1.425, 1.38, 1.3775, 1.3775, 1.345, 1.325, 1.31, 1.29, 1.29","17284, 7510, 14609, 21579, 6345, 18714, 21384, 15046, 16719, 5658, 20036, 2184, 19418, 8543, 11487, 6447, 1282, 2664, 11828, 11869"
PTB-XL,Q_Amp_III_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","722, 5284, 6402, 7456, 8647, 9295, 9342, 9497, 12725, 13817, 14988, 15461, 15636, 16168, 16171, 17169, 17354, 17596, 18516, 18593"
PTB-XL,Q_Amp_II_count,Top 20,"33, 31, 30, 29, 29, 29, 29, 29, 28, 28, 28, 28, 28, 27, 27, 27, 27, 27, 27, 27","14286, 16106, 16753, 2530, 4161, 10936, 12195, 16901, 449, 3134, 3476, 5833, 13112, 1173, 4496, 7796, 7889, 9337, 11349, 12988"
PTB-XL,Q_Amp_II_count,Bottom 20,"5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6","477, 722, 8907, 10266, 16151, 959, 1919, 2534, 3535, 4236, 5135, 8048, 8581, 8620, 8893, 8932, 9217, 9950, 10300, 10670"
PTB-XL,Q_Amp_II_iqr,Top 20,"3.04, 2.5, 2.3225, 2.295, 2.22, 2.19, 2.09, 1.92, 1.8, 1.8, 1.5, 1.4725, 1.4675, 1.46, 1.415, 1.4025, 1.39, 1.37, 1.365, 1.325","18599, 19118, 18903, 11700, 19046, 9158, 11869, 21579, 14956, 6386, 15598, 21384, 20363, 20107, 18465, 16719, 12186, 316, 3660, 6918"
PTB-XL,Q_Amp_II_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","3267, 4449, 5670, 6047, 7283, 7394, 8571, 9198, 9369, 9664, 9679, 10229, 10448, 10557, 10660, 10740, 11689, 11720, 12329, 14429"
PTB-XL,Q_Amp_I_count,Top 20,"33, 31, 30, 29, 29, 29, 29, 29, 28, 28, 28, 28, 28, 27, 27, 27, 27, 27, 27, 27","14286, 16106, 16753, 2530, 4161, 10936, 12195, 16901, 449, 3134, 3476, 5833, 13112, 1173, 4496, 7796, 7889, 9337, 11349, 12988"
PTB-XL,Q_Amp_I_count,Bottom 20,"5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6","477, 722, 8907, 10266, 16151, 959, 1919, 2534, 3535, 4236, 5135, 8048, 8581, 8620, 8893, 8932, 9217, 9950, 10300, 10670"
PTB-XL,Q_Amp_I_iqr,Top 20,"6.005, 1.885, 1.785, 1.67, 1.36, 1.2125, 1.12, 1.07, 0.99, 0.97, 0.96, 0.9375, 0.9325, 0.915, 0.91, 0.87, 0.855, 0.845, 0.84, 0.8375","10565, 19046, 9158, 1399, 11828, 9129, 21643, 20974, 7083, 8758, 10572, 711, 7897, 16050, 19351, 16874, 11080, 14926, 16100, 1157"
PTB-XL,Q_Amp_I_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","1148, 1446, 1532, 3782, 5261, 5421, 5485, 6150, 6795, 7593, 7726, 8173, 9886, 10607, 10836, 12453, 13216, 13360, 13466, 14783"
